_id,Date,Price,Open,High,Low,Vol,Change,Exchange,Country,Currency,Source
ObjectId("5c6f6bf1afdb6c3febf8056c"),""2018-05-18T00:00:00.000Z"",31399.31,31360,31521,31351.98,750,0.8,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8056d"),""2018-05-17T00:00:00.000Z"",31150,31203,31425,31075,510,0.38,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8056e"),""2018-05-16T00:00:00.000Z"",31031.14,31165,31370,31031.14,1050,0.26,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8056f"),""2018-05-15T00:00:00.000Z"",30950.72,31500,31500,30824,2350,-1.57,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80570"),""2018-05-14T00:00:00.000Z"",31445,31332,31445,31250,520,1.37,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80571"),""2018-05-11T00:00:00.000Z"",31020.01,30793,31254,30751.53,1090,0.24,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80572"),""2018-05-10T00:00:00.000Z"",30946,31420,31420,30899.05,2770,-1.51,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80573"),""2018-05-09T00:00:00.000Z"",31420,31300,31440,31051,940,0.93,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80574"),""2018-05-08T00:00:00.000Z"",31131.43,31176.2,31211.16,30997.01,1560,0.05,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80575"),""2018-05-07T00:00:00.000Z"",31116.59,30600,31200,30600,1650,2.14,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80576"),""2018-05-04T00:00:00.000Z"",30464.03,29999.96,30470,29999.95,4300,1.55,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80577"),""2018-05-03T00:00:00.000Z"",29999.95,29801,30000,29470,940,0,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80578"),""2018-05-02T00:00:00.000Z"",30000,29900.2,30310,29412.01,5780,1.83,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80579"),""2018-04-30T00:00:00.000Z"",29459.78,29350,29930,29330,1060,0.39,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8057a"),""2018-04-27T00:00:00.000Z"",29344.14,29925.02,30600,29150,13320,2.93,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8057b"),""2018-04-26T00:00:00.000Z"",28507.55,28200,28888,27900,5520,3.76,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8057c"),""2018-04-25T00:00:00.000Z"",27475,27500,28000,27100,5600,-0.04,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8057d"),""2018-04-24T00:00:00.000Z"",27485,28850,28850,27340,1710,-4.17,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8057e"),""2018-04-23T00:00:00.000Z"",28681.34,28803,29109.5,28576,950,1.35,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8057f"),""2018-04-20T00:00:00.000Z"",28300,28800,29099.99,28206.62,3820,-1.64,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80580"),""2018-04-19T00:00:00.000Z"",28771.48,27900,28800,27900,2800,4.18,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80581"),""2018-04-18T00:00:00.000Z"",27616.05,27270,27699.99,27150,4220,1.9,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80582"),""2018-04-17T00:00:00.000Z"",27100,26276.3,27127,26276.3,5400,4.61,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80583"),""2018-04-16T00:00:00.000Z"",25905.63,25980,26062.4,25837.31,1950,0.1,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80584"),""2018-04-13T00:00:00.000Z"",25880.97,26350,26399.99,25880.97,410,-1.91,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80585"),""2018-04-12T00:00:00.000Z"",26384.98,26100,26385,26100,1160,1.31,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80586"),""2018-04-11T00:00:00.000Z"",26042.89,26320,26382.8,26038.7,4360,-0.72,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80587"),""2018-04-10T00:00:00.000Z"",26232,26220,26250,25981.89,720,1.55,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80588"),""2018-04-09T00:00:00.000Z"",25831.06,26200,26225,25780,830,0.3,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80589"),""2018-04-06T00:00:00.000Z"",25752.67,26206.63,26411,25700,970,-2.52,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8058a"),""2018-04-05T00:00:00.000Z"",26419.08,26000,26427,25932,1790,3.71,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8058b"),""2018-04-04T00:00:00.000Z"",25473.93,25020,25500,24975,1870,0.36,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8058c"),""2018-04-03T00:00:00.000Z"",25382.32,25304.13,25700,24780,2740,1.78,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8058d"),""2018-04-02T00:00:00.000Z"",24937.99,25870,25870,24930,10020,-4.95,BMV,Mexico,MXN,Investing.com
