Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
12-Sep-18,"1,710.79","1,722.99","1,727.00","1,690.00",26.76K,0.81%,XETRA,Germany,EUR
11-Sep-18,"1,696.99","1,675.01","1,696.99","1,656.00",5.69K,1.33%,XETRA,Germany,EUR
10-Sep-18,"1,674.64","1,702.00","1,704.80","1,662.77",6.69K,-1.79%,XETRA,Germany,EUR
7-Sep-18,"1,705.23","1,685.99","1,709.99","1,672.43",7.20K,0.80%,XETRA,Germany,EUR
6-Sep-18,"1,691.64","1,722.75","1,730.50","1,681.13",36.64K,-1.88%,XETRA,Germany,EUR
5-Sep-18,"1,724.06","1,768.00","1,768.00","1,715.22",9.57K,-2.74%,XETRA,Germany,EUR
4-Sep-18,"1,772.64","1,762.00","1,774.39","1,743.09",10.85K,1.12%,XETRA,Germany,EUR
3-Sep-18,"1,753.00","1,746.00","1,753.99","1,745.00",9.82K,1.15%,XETRA,Germany,EUR
31-Aug-18,"1,733.07","1,721.99","1,737.02","1,712.05",7.73K,0.45%,XETRA,Germany,EUR
30-Aug-18,"1,725.27","1,710.94","1,737.25","1,707.07",12.51K,1.97%,XETRA,Germany,EUR
29-Aug-18,"1,692.00","1,669.60","1,692.00","1,669.50",8.31K,2.34%,XETRA,Germany,EUR
28-Aug-18,"1,653.25","1,655.00","1,656.00","1,647.33",3.50K,0.59%,XETRA,Germany,EUR
27-Aug-18,"1,643.53","1,651.00","1,654.88","1,639.07",3.69K,-0.21%,XETRA,Germany,EUR
24-Aug-18,"1,647.05","1,637.52","1,654.50","1,637.52",5.03K,-0.05%,XETRA,Germany,EUR
23-Aug-18,"1,647.88","1,654.01","1,659.94","1,642.98",5.58K,0.64%,XETRA,Germany,EUR
22-Aug-18,"1,637.36","1,620.00","1,639.10","1,614.10",4.29K,-0.26%,XETRA,Germany,EUR
21-Aug-18,"1,641.68","1,633.50","1,644.61","1,627.95",3.83K,-0.02%,XETRA,Germany,EUR
20-Aug-18,"1,641.98","1,652.20","1,662.36","1,632.93",5.69K,0.14%,XETRA,Germany,EUR
17-Aug-18,"1,639.65","1,664.00","1,666.00","1,627.47",6.24K,-1.68%,XETRA,Germany,EUR
16-Aug-18,"1,667.62","1,670.01","1,676.46","1,661.73",5.68K,-0.46%,XETRA,Germany,EUR
15-Aug-18,"1,675.36","1,695.99","1,705.18","1,653.50",12.53K,-0.42%,XETRA,Germany,EUR
14-Aug-18,"1,682.49","1,673.79","1,686.11","1,669.90",7.16K,0.73%,XETRA,Germany,EUR
13-Aug-18,"1,670.24","1,653.99","1,684.84","1,653.00",6.51K,0.63%,XETRA,Germany,EUR
10-Aug-18,"1,659.78","1,648.99","1,660.79","1,648.00",5.60K,1.16%,XETRA,Germany,EUR
9-Aug-18,"1,640.72","1,628.00","1,641.73","1,620.74",6.32K,1.04%,XETRA,Germany,EUR
8-Aug-18,"1,623.89","1,604.89","1,626.00","1,600.16",5.31K,1.51%,XETRA,Germany,EUR
7-Aug-18,"1,599.70","1,600.99","1,606.74","1,593.00",4.31K,1.14%,XETRA,Germany,EUR
6-Aug-18,"1,581.72","1,584.99","1,592.04","1,576.00",4.67K,0.31%,XETRA,Germany,EUR
3-Aug-18,"1,576.76","1,588.00","1,591.00","1,575.00",5.37K,1.20%,XETRA,Germany,EUR
2-Aug-18,"1,558.00","1,541.90","1,558.00","1,535.50",4.91K,1.90%,XETRA,Germany,EUR
1-Aug-18,"1,529.00","1,531.99","1,538.02","1,523.94",5.06K,0.69%,XETRA,Germany,EUR
31-Jul-18,"1,518.54","1,531.00","1,535.35","1,486.73",11.71K,-1.06%,XETRA,Germany,EUR
30-Jul-18,"1,534.81","1,564.00","1,571.59","1,522.00",12.24K,-3.03%,XETRA,Germany,EUR
27-Jul-18,"1,582.80","1,603.11","1,630.28","1,571.74",18.39K,1.01%,XETRA,Germany,EUR
26-Jul-18,"1,566.98","1,568.00","1,578.27","1,556.75",7.54K,-0.39%,XETRA,Germany,EUR
25-Jul-18,"1,573.08","1,568.97","1,573.08","1,558.64",4.16K,0.64%,XETRA,Germany,EUR
24-Jul-18,"1,563.04","1,564.00","1,572.00","1,555.31",6.11K,1.35%,XETRA,Germany,EUR
23-Jul-18,"1,542.22","1,545.11","1,552.90","1,510.00",7.56K,-1.35%,XETRA,Germany,EUR
20-Jul-18,"1,563.25","1,564.01","1,573.87","1,553.77",5.42K,-1.08%,XETRA,Germany,EUR
19-Jul-18,"1,580.24","1,581.90","1,589.63","1,572.00",4.31K,-0.45%,XETRA,Germany,EUR
18-Jul-18,"1,587.37","1,591.99","1,598.90","1,572.76",7.97K,0.80%,XETRA,Germany,EUR
17-Jul-18,"1,574.81","1,539.00","1,574.81","1,537.10",7.93K,0.93%,XETRA,Germany,EUR
16-Jul-18,"1,560.27","1,555.99","1,563.38","1,548.18",5.61K,0.46%,XETRA,Germany,EUR
13-Jul-18,"1,553.12","1,551.51","1,559.36","1,542.62",7.33K,1.73%,XETRA,Germany,EUR
12-Jul-18,"1,526.64","1,503.23","1,528.00","1,502.01",6.96K,2.53%,XETRA,Germany,EUR
11-Jul-18,"1,488.95","1,473.50","1,493.82","1,470.00",3.24K,0.15%,XETRA,Germany,EUR
10-Jul-18,"1,486.73","1,485.01","1,493.63","1,478.50",6.72K,0.98%,XETRA,Germany,EUR
9-Jul-18,"1,472.36","1,462.99","1,473.19","1,458.42",4.75K,1.06%,XETRA,Germany,EUR
6-Jul-18,"1,456.85","1,450.50","1,458.00","1,438.25",2.42K,0.49%,XETRA,Germany,EUR
5-Jul-18,"1,449.81","1,452.67","1,463.98","1,439.00",4.64K,-0.43%,XETRA,Germany,EUR
4-Jul-18,"1,456.01","1,457.39","1,466.00","1,455.62",1.51K,-0.61%,XETRA,Germany,EUR
3-Jul-18,"1,464.94","1,476.99","1,480.51","1,462.48",2.52K,0.33%,XETRA,Germany,EUR
2-Jul-18,"1,460.09","1,452.00","1,466.70","1,444.13",3.53K,-0.52%,XETRA,Germany,EUR
29-Jun-18,"1,467.78","1,476.00","1,483.99","1,467.78",5.67K,0.84%,XETRA,Germany,EUR
28-Jun-18,"1,455.53","1,442.00","1,458.61","1,430.00",4.53K,-0.56%,XETRA,Germany,EUR
27-Jun-18,"1,463.70","1,447.92","1,475.72","1,435.88",4.40K,1.72%,XETRA,Germany,EUR
26-Jun-18,"1,438.92","1,429.00","1,446.81","1,426.00",2.20K,0.94%,XETRA,Germany,EUR
25-Jun-18,"1,425.57","1,469.85","1,469.85","1,419.10",10.62K,-3.96%,XETRA,Germany,EUR
22-Jun-18,"1,484.42","1,484.49","1,497.99","1,477.17",5.41K,-1.10%,XETRA,Germany,EUR
21-Jun-18,"1,500.87","1,527.10","1,527.10","1,484.00",7.28K,-0.83%,XETRA,Germany,EUR
20-Jun-18,"1,513.50","1,505.51","1,514.00","1,502.12",9.11K,2.31%,XETRA,Germany,EUR
19-Jun-18,"1,479.28","1,472.00","1,485.87","1,464.01",7.48K,-0.31%,XETRA,Germany,EUR
18-Jun-18,"1,483.93","1,476.50","1,487.34","1,465.01",6.48K,0.51%,XETRA,Germany,EUR
15-Jun-18,"1,476.47","1,491.90","1,495.00","1,471.54",5.72K,0.02%,XETRA,Germany,EUR
14-Jun-18,"1,476.19","1,442.10","1,477.55","1,438.09",7.84K,1.50%,XETRA,Germany,EUR
13-Jun-18,"1,454.44","1,448.38","1,454.44","1,444.03",3.46K,1.13%,XETRA,Germany,EUR
12-Jun-18,"1,438.13","1,442.99","1,443.00","1,434.00",3.09K,0.60%,XETRA,Germany,EUR
11-Jun-18,"1,429.58","1,428.00","1,435.47","1,423.20",3.03K,-0.19%,XETRA,Germany,EUR
8-Jun-18,"1,432.27","1,429.27","1,435.59","1,415.15",4.23K,0.40%,XETRA,Germany,EUR
7-Jun-18,"1,426.60","1,442.29","1,442.29","1,417.84",4.53K,-1.55%,XETRA,Germany,EUR
6-Jun-18,"1,448.99","1,454.10","1,456.97","1,431.19",6.06K,0.63%,XETRA,Germany,EUR
5-Jun-18,"1,439.96","1,427.01","1,447.86","1,425.00",4.88K,1.88%,XETRA,Germany,EUR
4-Jun-18,"1,413.39","1,413.00","1,413.70","1,402.00",8.35K,0.25%,XETRA,Germany,EUR
1-Jun-18,"1,409.87","1,400.95","1,409.87","1,395.11",3.57K,0.88%,XETRA,Germany,EUR
31-May-18,"1,397.56","1,393.39","1,398.44","1,387.12",3.55K,0.29%,XETRA,Germany,EUR
30-May-18,"1,393.50","1,400.00","1,404.74","1,389.27",5.19K,-0.53%,XETRA,Germany,EUR
29-May-18,"1,400.99","1,387.00","1,400.99","1,382.00",7.74K,0.76%,XETRA,Germany,EUR
28-May-18,"1,390.41","1,385.00","1,393.11","1,382.97",2.39K,0.61%,XETRA,Germany,EUR
25-May-18,"1,381.94","1,365.51","1,384.09","1,365.51",4.18K,1.61%,XETRA,Germany,EUR
24-May-18,"1,360.10","1,364.61","1,390.00","1,355.95",7.57K,1.00%,XETRA,Germany,EUR
23-May-18,"1,346.70","1,342.11","1,347.84","1,331.50",12.54K,0.46%,XETRA,Germany,EUR
22-May-18,"1,340.59","1,350.00","1,350.50","1,337.91",2.45K,-0.16%,XETRA,Germany,EUR
18-May-18,"1,342.68","1,344.68","1,346.99","1,337.00",4.41K,-0.42%,XETRA,Germany,EUR
17-May-18,"1,348.40","1,342.35","1,351.70","1,338.79",11.51K,0.29%,XETRA,Germany,EUR
16-May-18,"1,344.44","1,333.01","1,348.10","1,329.32",4.41K,1.62%,XETRA,Germany,EUR
15-May-18,"1,323.00","1,342.01","1,345.06","1,320.50",3.54K,-1.36%,XETRA,Germany,EUR
14-May-18,"1,341.26","1,345.00","1,348.00","1,337.50",6.42K,-0.35%,XETRA,Germany,EUR
11-May-18,"1,345.98","1,353.00","1,354.00","1,339.10",3.58K,-0.44%,XETRA,Germany,EUR
10-May-18,"1,351.95","1,356.50","1,358.00","1,345.90",1.64K,0.37%,XETRA,Germany,EUR
