Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
18-Jun-18,"35,490.00","35,612.00","35,698.85","35,352.00",1.53K,0.08%,BMV,Mexico,MXN
15-Jun-18,"35,461.37","35,881.00","35,881.00","35,435.00",1.81K,-1.17%,BMV,Mexico,MXN
14-Jun-18,"35,881.98","35,310.00","35,881.98","35,310.00",2.08K,1.50%,BMV,Mexico,MXN
13-Jun-18,"35,350.00","35,334.01","35,524.42","35,170.46",1.23K,0.80%,BMV,Mexico,MXN
12-Jun-18,"35,070.00","34,923.00","35,130.00","34,857.00",1.06K,0.73%,BMV,Mexico,MXN
11-Jun-18,"34,814.44","34,500.00","34,833.50","34,470.00",0.62K,1.95%,BMV,Mexico,MXN
8-Jun-18,"34,150.00","34,390.26","34,643.00","34,150.00",1.84K,-1.39%,BMV,Mexico,MXN
7-Jun-18,"34,631.21","34,660.00","34,700.00","34,320.00",2.46K,0.84%,BMV,Mexico,MXN
6-Jun-18,"34,343.63","34,600.00","34,680.00","34,319.00",1.80K,-0.91%,BMV,Mexico,MXN
5-Jun-18,"34,660.00","33,700.00","34,660.00","33,700.00",1.56K,3.80%,BMV,Mexico,MXN
4-Jun-18,"33,390.42","32,903.23","33,395.00","32,903.23",1.08K,1.91%,BMV,Mexico,MXN
1-Jun-18,"32,764.35","32,500.00","32,790.00","32,450.00",2.51K,0.64%,BMV,Mexico,MXN
31-May-18,"32,555.00","32,360.00","32,680.00","32,360.00",2.68K,1.35%,BMV,Mexico,MXN
30-May-18,"32,121.34","31,906.00","32,180.00","31,880.00",2.38K,0.36%,BMV,Mexico,MXN
29-May-18,"32,005.92","31,698.00","32,010.00","31,670.01",1.24K,1.42%,BMV,Mexico,MXN
28-May-18,"31,559.00","31,559.00","31,559.00","31,559.00",0.05K,0.30%,BMV,Mexico,MXN
25-May-18,"31,464.99","31,630.00","31,668.00","31,440.00",0.79K,-0.19%,BMV,Mexico,MXN
24-May-18,"31,523.50","31,455.00","31,652.79","31,455.00",1.37K,0.74%,BMV,Mexico,MXN
23-May-18,"31,290.67","31,260.00","31,330.00","31,000.00",1.42K,-0.07%,BMV,Mexico,MXN
22-May-18,"31,312.43","31,300.00","31,323.00","31,116.22",0.60K,-0.50%,BMV,Mexico,MXN
21-May-18,"31,468.82","31,600.00","31,711.99","31,300.00",0.70K,0.22%,BMV,Mexico,MXN
18-May-18,"31,399.31","31,360.00","31,521.00","31,351.98",0.75K,0.80%,BMV,Mexico,MXN
17-May-18,"31,150.00","31,203.00","31,425.00","31,075.00",0.51K,0.38%,BMV,Mexico,MXN
16-May-18,"31,031.14","31,165.00","31,370.00","31,031.14",1.05K,0.26%,BMV,Mexico,MXN
15-May-18,"30,950.72","31,500.00","31,500.00","30,824.00",2.35K,-1.57%,BMV,Mexico,MXN
14-May-18,"31,445.00","31,332.00","31,445.00","31,250.00",0.52K,1.37%,BMV,Mexico,MXN
11-May-18,"31,020.01","30,793.00","31,254.00","30,751.53",1.09K,0.24%,BMV,Mexico,MXN
10-May-18,"30,946.00","31,420.00","31,420.00","30,899.05",2.77K,-1.51%,BMV,Mexico,MXN
9-May-18,"31,420.00","31,300.00","31,440.00","31,051.00",0.94K,0.93%,BMV,Mexico,MXN
8-May-18,"31,131.43","31,176.20","31,211.16","30,997.01",1.56K,0.05%,BMV,Mexico,MXN
7-May-18,"31,116.59","30,600.00","31,200.00","30,600.00",1.65K,2.14%,BMV,Mexico,MXN
4-May-18,"30,464.03","29,999.96","30,470.00","29,999.95",4.30K,1.55%,BMV,Mexico,MXN
3-May-18,"29,999.95","29,801.00","30,000.00","29,470.00",0.94K,0.00%,BMV,Mexico,MXN
2-May-18,"30,000.00","29,900.20","30,310.00","29,412.01",5.78K,1.83%,BMV,Mexico,MXN
30-Apr-18,"29,459.78","29,350.00","29,930.00","29,330.00",1.06K,0.39%,BMV,Mexico,MXN
27-Apr-18,"29,344.14","29,925.02","30,600.00","29,150.00",13.32K,2.93%,BMV,Mexico,MXN
26-Apr-18,"28,507.55","28,200.00","28,888.00","27,900.00",5.52K,3.76%,BMV,Mexico,MXN
25-Apr-18,"27,475.00","27,500.00","28,000.00","27,100.00",5.60K,-0.04%,BMV,Mexico,MXN
24-Apr-18,"27,485.00","28,850.00","28,850.00","27,340.00",1.71K,-4.17%,BMV,Mexico,MXN
23-Apr-18,"28,681.34","28,803.00","29,109.50","28,576.00",0.95K,1.35%,BMV,Mexico,MXN
20-Apr-18,"28,300.00","28,800.00","29,099.99","28,206.62",3.82K,-1.64%,BMV,Mexico,MXN
19-Apr-18,"28,771.48","27,900.00","28,800.00","27,900.00",2.80K,4.18%,BMV,Mexico,MXN
18-Apr-18,"27,616.05","27,270.00","27,699.99","27,150.00",4.22K,1.90%,BMV,Mexico,MXN
17-Apr-18,"27,100.00","26,276.30","27,127.00","26,276.30",5.40K,4.61%,BMV,Mexico,MXN
16-Apr-18,"25,905.63","25,980.00","26,062.40","25,837.31",1.95K,0.10%,BMV,Mexico,MXN
13-Apr-18,"25,880.97","26,350.00","26,399.99","25,880.97",0.41K,-1.91%,BMV,Mexico,MXN
12-Apr-18,"26,384.98","26,100.00","26,385.00","26,100.00",1.16K,1.31%,BMV,Mexico,MXN
11-Apr-18,"26,042.89","26,320.00","26,382.80","26,038.70",4.36K,-0.72%,BMV,Mexico,MXN
10-Apr-18,"26,232.00","26,220.00","26,250.00","25,981.89",0.72K,1.55%,BMV,Mexico,MXN
9-Apr-18,"25,831.06","26,200.00","26,225.00","25,780.00",0.83K,0.30%,BMV,Mexico,MXN
6-Apr-18,"25,752.67","26,206.63","26,411.00","25,700.00",0.97K,-2.52%,BMV,Mexico,MXN
